compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 15.2,64,clflush,main,-,baseline,probe,0,25,50,50,38.78,12.4,0.16,0.00,0.23,-3.20,0.23,-1.277,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,direct,0,25,50,50,41.98,11.7,0.15,3.20,0.23,0.00,0.22,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch,1,225,275,350,295.93,108.2,1.43,257.15,1.44,0.00,2.03,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch+touch,2,225,300,825,349.16,172.1,2.28,310.39,2.29,0.00,3.22,0.000,0.000,0.000
g++ 15.2,64,clflush,main,const,yardstick,vf,1,450,550,1100,622.21,182.4,2.42,583.43,2.42,326.28,2.81,130.141,1.000,1.000
g++ 15.2,64,clflush,main,const,yardstick,vf+vf,2,475,575,1450,758.38,311.6,4.13,719.60,4.13,409.21,4.71,163.220,1.000,1.000
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,1,475,525,1100,605.42,195.5,2.59,566.64,2.59,563.44,2.59,224.736,0.971,1.727
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,1,950,1050,1850,1178.36,271.5,3.60,1139.58,3.60,882.43,3.87,351.967,1.953,2.705
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,2,675,775,1475,894.46,257.5,3.41,855.68,3.41,852.48,3.41,340.022,1.189,2.083
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,2,1025,1375,2175,1534.58,341.4,4.52,1495.80,4.53,1185.42,5.06,472.817,2.079,2.897
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,1,450,525,1025,615.72,190.5,2.52,576.95,2.53,573.75,2.53,228.845,0.989,1.758
g++ 15.2,64,clflush,main,const,vptr_map,om ref,1,650,775,1425,850.96,204.8,2.71,812.19,2.72,555.04,3.07,221.384,1.392,1.701
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,2,650,775,1700,922.25,320.4,4.24,883.48,4.25,880.28,4.25,351.108,1.228,2.151
g++ 15.2,64,clflush,main,const,vptr_map,om ref,2,900,1075,1900,1249.84,305.8,4.05,1211.07,4.05,900.68,4.65,359.246,1.683,2.201
g++ 15.2,64,clflush,main,const,flat_map,om vptr,1,425,525,1025,617.03,185.4,2.46,578.25,2.46,575.05,2.46,229.365,0.991,1.762
g++ 15.2,64,clflush,main,const,flat_map,om ref,1,675,825,1525,927.47,251.6,3.33,888.70,3.34,631.55,3.63,251.900,1.523,1.936
g++ 15.2,64,clflush,main,const,flat_map,om vptr,2,750,825,1450,912.27,213.0,2.82,873.50,2.83,870.29,2.83,347.127,1.214,2.127
