compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,25,50,50,38.86,12.4,0.16,0.00,0.23,-4.67,0.22,-1.870,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,25,50,50,43.53,11.0,0.15,4.67,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,225,300,400,319.60,97.5,1.29,280.75,1.30,0.00,1.83,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,250,300,800,361.87,164.7,2.18,323.01,2.19,0.00,3.08,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,475,550,1050,616.26,171.8,2.28,577.40,2.28,296.66,2.62,118.793,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,475,575,1375,699.41,268.1,3.55,660.56,3.55,337.54,4.17,135.165,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,475,550,1000,602.75,154.9,2.05,563.89,2.06,559.22,2.06,223.932,0.977,1.885
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,950,1075,1825,1199.26,271.0,3.59,1160.41,3.59,879.66,3.82,352.249,2.010,2.965
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,675,800,1575,897.94,240.7,3.19,859.09,3.19,854.42,3.19,342.140,1.301,2.531
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,1175,1600,2225,1643.79,362.8,4.81,1604.93,4.81,1281.92,5.28,513.328,2.430,3.798
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,475,550,850,577.94,108.6,1.44,539.08,1.45,534.41,1.45,213.998,0.934,1.801
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,750,800,1475,908.57,222.2,2.94,869.71,2.95,588.96,3.21,235.843,1.506,1.985
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,725,825,1600,936.18,256.3,3.39,897.33,3.40,892.66,3.40,357.453,1.358,2.645
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,1000,1150,1925,1287.91,296.3,3.93,1249.05,3.93,926.04,4.49,370.820,1.891,2.743
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,475,525,1025,599.16,164.3,2.18,560.31,2.18,555.64,2.18,222.497,0.970,1.873
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,700,775,1325,837.82,179.9,2.38,798.96,2.39,518.21,2.71,207.512,1.384,1.747
