compiler,bits,mode,hier,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 18.1,64,warm,main,baseline,ovh,0,25,50,50,41.55,11.8,0.16,0.00,0.22,0.00,0.22,0.000,0.000,0.000
clang++ 18.1,64,warm,main,baseline,nvf,1,25,50,50,42.96,11.2,0.15,1.42,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,main,baseline,nvf+nvf,2,25,50,50,43.82,10.8,0.14,2.27,0.21,0.00,0.20,0.000,0.000,0.000
clang++ 18.1,64,warm,main,yardstick,vf,1,25,50,75,54.05,9.7,0.13,12.50,0.20,11.09,0.20,4.444,1.000,1.000
clang++ 18.1,64,warm,main,yardstick,vf+vf,2,25,50,75,60.91,12.5,0.17,19.36,0.23,17.09,0.22,6.848,1.000,1.000
clang++ 18.1,64,warm,main,vptr_vector,om vptr,1,25,50,75,56.22,11.0,0.15,14.68,0.21,14.68,0.21,5.881,1.174,1.324
clang++ 18.1,64,warm,main,vptr_vector,om ref,1,50,50,75,60.45,12.3,0.16,18.90,0.23,17.49,0.22,7.008,1.512,1.577
clang++ 18.1,64,warm,main,vptr_vector,om vptr,2,50,50,50,50.16,2.0,0.03,8.61,0.16,8.61,0.16,3.450,0.445,0.504
clang++ 18.1,64,warm,main,vptr_vector,om ref,2,50,50,75,57.55,11.5,0.15,16.00,0.22,13.73,0.21,5.502,0.826,0.803
clang++ 18.1,64,warm,main,vptr_map,om vptr,1,25,50,75,54.63,10.2,0.14,13.08,0.21,13.08,0.21,5.242,1.046,1.180
clang++ 18.1,64,warm,main,vptr_map,om ref,1,50,75,75,70.31,9.8,0.13,28.76,0.20,27.34,0.20,10.958,2.300,2.466
clang++ 18.1,64,warm,main,vptr_map,om vptr,2,50,50,50,50.07,1.4,0.02,8.53,0.16,8.53,0.16,3.417,0.440,0.499
clang++ 18.1,64,warm,main,vptr_map,om ref,2,50,75,75,70.06,10.0,0.13,28.51,0.20,26.24,0.19,10.515,1.473,1.535
clang++ 18.1,64,warm,main,flat_map,om vptr,1,25,50,75,54.55,10.3,0.14,13.00,0.21,13.00,0.21,5.210,1.040,1.172
clang++ 18.1,64,warm,main,flat_map,om ref,1,50,75,75,71.99,8.1,0.11,30.44,0.19,29.03,0.18,11.633,2.435,2.618
clang++ 18.1,64,warm,main,flat_map,om vptr,2,50,50,50,50.16,2.0,0.03,8.61,0.16,8.61,0.16,3.450,0.445,0.504
clang++ 18.1,64,warm,main,flat_map,om ref,2,50,75,75,71.89,8.2,0.11,30.35,0.19,28.07,0.18,11.251,1.568,1.643
clang++ 18.1,64,warm,main,indirect,om vptr,1,25,50,75,57.31,11.4,0.15,15.76,0.22,15.76,0.22,6.317,1.261,1.422
clang++ 18.1,64,warm,main,indirect,om ref,1,50,75,75,66.49,11.8,0.16,24.94,0.22,23.53,0.22,9.428,1.995,2.122
clang++ 18.1,64,warm,main,indirect,om vptr,2,50,50,75,51.97,6.7,0.09,10.43,0.18,10.43,0.18,4.178,0.539,0.610
clang++ 18.1,64,warm,main,indirect,om ref,2,50,50,75,59.19,12.1,0.16,17.64,0.22,15.37,0.21,6.161,0.911,0.900
clang++ 18.1,64,warm,inplace,baseline,nvf,1,25,50,50,43.18,11.1,0.15,1.64,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,baseline,nvf+nvf,2,25,50,50,43.73,10.8,0.14,2.18,0.21,0.00,0.20,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace,yardstick,vf,1,25,50,75,55.97,10.8,0.14,14.42,0.21,12.79,0.21,5.124,1.000,1.000
clang++ 18.1,64,warm,inplace,yardstick,vf+vf,2,25,50,75,60.54,12.4,0.16,18.99,0.23,16.81,0.22,6.736,1.000,1.000
clang++ 18.1,64,warm,inplace,inplace,om ref,1,25,50,75,54.68,10.3,0.14,13.13,0.21,11.50,0.20,4.607,0.911,0.899
clang++ 18.1,64,warm,inplace,inplace,om ref,2,50,50,50,50.00,0.0,0.00,8.45,0.16,6.27,0.14,2.512,0.445,0.373
clang++ 18.1,64,warm,inplace_ind,baseline,nvf,1,25,50,50,43.11,11.2,0.15,1.56,0.22,0.00,0.21,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,baseline,nvf+nvf,2,25,50,50,43.68,10.9,0.14,2.13,0.21,0.00,0.20,0.000,0.000,0.000
clang++ 18.1,64,warm,inplace_ind,yardstick,vf,1,25,50,75,55.44,10.6,0.14,13.89,0.21,12.33,0.20,4.943,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,yardstick,vf+vf,2,25,75,75,63.25,12.6,0.17,21.70,0.23,19.57,0.22,7.843,1.000,1.000
clang++ 18.1,64,warm,inplace_ind,inplace_ind,om ref,1,50,50,75,59.69,12.2,0.16,18.14,0.22,16.58,0.22,6.646,1.306,1.345
clang++ 18.1,64,warm,inplace_ind,inplace_ind,om ref,2,50,50,75,51.92,6.7,0.09,10.37,0.18,8.24,0.17,3.303,0.478,0.421
clang++ 18.1,64,clflush,main,baseline,ovh,0,25,50,50,41.93,11.7,0.15,0.00,0.22,0.00,0.22,0.000,0.000,0.000
clang++ 18.1,64,clflush,main,baseline,nvf,1,50,275,350,288.84,105.2,1.39,246.91,1.40,0.00,1.97,0.000,0.000,0.000
clang++ 18.1,64,clflush,main,baseline,nvf+nvf,2,225,300,825,345.08,169.9,2.25,303.15,2.26,0.00,3.18,0.000,0.000,0.000
clang++ 18.1,64,clflush,main,yardstick,vf,1,300,525,1075,576.86,185.2,2.45,534.93,2.46,288.02,2.82,115.427,1.000,1.000
clang++ 18.1,64,clflush,main,yardstick,vf+vf,2,450,650,1525,834.92,361.6,4.79,793.00,4.79,489.84,5.29,196.309,1.000,1.000
clang++ 18.1,64,clflush,main,vptr_vector,om vptr,1,500,550,875,595.86,116.1,1.54,553.94,1.55,553.94,1.55,221.996,1.036,1.923
clang++ 18.1,64,clflush,main,vptr_vector,om ref,1,975,1050,1800,1181.80,255.7,3.39,1139.88,3.39,892.96,3.66,357.864,2.131,3.100
clang++ 18.1,64,clflush,main,vptr_vector,om vptr,2,675,800,1450,887.82,230.4,3.05,845.89,3.06,845.89,3.06,338.998,1.067,1.727
clang++ 18.1,64,clflush,main,vptr_vector,om ref,2,1100,1400,2075,1485.97,328.2,4.35,1444.04,4.35,1140.89,4.90,457.222,1.821,2.329
clang++ 18.1,64,clflush,main,vptr_map,om vptr,1,450,525,1100,629.11,208.1,2.76,587.19,2.76,587.19,2.76,235.321,1.098,2.039
clang++ 18.1,64,clflush,main,vptr_map,om ref,1,675,750,1375,840.31,202.3,2.68,798.39,2.68,551.47,3.02,221.008,1.492,1.915
clang++ 18.1,64,clflush,main,vptr_map,om vptr,2,675,750,1425,835.03,224.0,2.97,793.11,2.97,793.11,2.97,317.844,1.000,1.619
clang++ 18.1,64,clflush,main,vptr_map,om ref,2,900,1025,1775,1163.07,279.7,3.71,1121.15,3.71,818.00,4.33,327.819,1.414,1.670
clang++ 18.1,64,clflush,main,flat_map,om vptr,1,450,500,1000,575.69,165.3,2.19,533.77,2.19,533.77,2.19,213.912,0.998,1.853
clang++ 18.1,64,clflush,main,flat_map,om ref,1,675,725,1350,805.70,199.2,2.64,763.77,2.64,516.86,2.98,207.136,1.428,1.795
clang++ 18.1,64,clflush,main,flat_map,om vptr,2,675,725,1450,837.56,252.9,3.35,795.63,3.35,795.63,3.35,318.856,1.003,1.624
clang++ 18.1,64,clflush,main,flat_map,om ref,2,900,1025,1825,1191.40,305.6,4.05,1149.48,4.05,846.32,4.63,339.172,1.450,1.728
clang++ 18.1,64,clflush,main,indirect,om vptr,1,475,525,1225,605.38,226.3,3.00,563.46,3.00,563.46,3.00,225.810,1.053,1.956
clang++ 18.1,64,clflush,main,indirect,om ref,1,1100,1225,1875,1321.88,237.7,3.15,1279.96,3.15,1033.04,3.44,414.002,2.393,3.587
clang++ 18.1,64,clflush,main,indirect,om vptr,2,675,1100,1575,1072.54,310.7,4.11,1030.62,4.12,1030.62,4.12,413.030,1.300,2.104
clang++ 18.1,64,clflush,main,indirect,om ref,2,1325,1450,2325,1647.28,358.3,4.75,1605.36,4.75,1302.20,5.25,521.869,2.024,2.658
clang++ 18.1,64,clflush,inplace,baseline,nvf,1,200,250,325,269.48,101.8,1.35,227.55,1.36,0.00,1.91,0.000,0.000,0.000
clang++ 18.1,64,clflush,inplace,baseline,nvf+nvf,2,200,275,800,330.21,175.3,2.32,288.28,2.33,0.00,3.28,0.000,0.000,0.000
clang++ 18.1,64,clflush,inplace,yardstick,vf,1,400,525,1025,569.13,170.8,2.26,527.20,2.27,299.65,2.63,120.087,1.000,1.000
clang++ 18.1,64,clflush,inplace,yardstick,vf+vf,2,475,550,1400,736.87,314.1,4.16,694.95,4.16,406.67,4.76,162.975,1.000,1.000
clang++ 18.1,64,clflush,inplace,inplace,om ref,1,475,500,1075,579.56,187.4,2.48,537.64,2.49,310.08,2.82,124.269,1.020,1.035
clang++ 18.1,64,clflush,inplace,inplace,om ref,2,675,875,1275,904.95,191.6,2.54,863.03,2.54,574.75,3.44,230.334,1.242,1.413
clang++ 18.1,64,clflush,inplace_ind,baseline,nvf,1,200,275,475,294.12,110.5,1.46,252.19,1.47,0.00,2.07,0.000,0.000,0.000
clang++ 18.1,64,clflush,inplace_ind,baseline,nvf+nvf,2,200,275,775,327.59,165.7,2.20,285.66,2.20,0.00,3.10,0.000,0.000,0.000
clang++ 18.1,64,clflush,inplace_ind,yardstick,vf,1,375,475,1000,523.41,175.6,2.33,481.48,2.33,229.29,2.75,91.890,1.000,1.000
clang++ 18.1,64,clflush,inplace_ind,yardstick,vf+vf,2,400,875,1550,845.19,367.2,4.86,803.27,4.87,517.61,5.34,207.435,1.000,1.000
