compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
clang++ 22.1,64,clflush,main,-,baseline,probe,0,26,28,30,28.15,0.9,0.01,0.00,0.02,-2.39,0.02,-1.198,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,direct,0,28,30,32,30.54,1.1,0.01,2.39,0.02,0.00,0.02,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch,1,30,206,222,197.86,24.1,0.32,169.71,0.32,0.00,0.45,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,-,baseline,touch+touch,2,162,214,298,221.49,42.3,0.56,193.34,0.56,0.00,0.79,0.000,0.000,0.000
clang++ 22.1,64,clflush,main,const,yardstick,vf,1,174,360,464,368.63,44.6,0.59,340.48,0.59,170.77,0.67,85.522,1.000,1.000
clang++ 22.1,64,clflush,main,const,yardstick,vf+vf,2,306,392,554,404.74,60.5,0.80,376.59,0.80,183.24,0.98,91.770,1.000,1.000
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,1,358,402,482,409.88,27.8,0.37,381.72,0.37,379.33,0.37,189.975,1.121,2.221
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,1,708,790,950,807.94,55.8,0.74,779.79,0.74,610.08,0.80,305.534,2.290,3.573
clang++ 22.1,64,clflush,main,const,vptr_vector,om vptr,2,538,590,714,598.74,36.6,0.48,570.59,0.48,568.20,0.48,284.562,1.515,3.101
clang++ 22.1,64,clflush,main,const,vptr_vector,om ref,2,908,982,1202,1008.99,74.9,0.99,980.84,0.99,787.50,1.14,394.391,2.605,4.298
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,1,338,402,424,404.46,23.2,0.31,376.31,0.31,373.92,0.31,187.264,1.105,2.190
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,1,538,614,722,623.13,41.2,0.55,594.98,0.55,425.26,0.63,212.979,1.747,2.490
clang++ 22.1,64,clflush,main,const,vptr_map,om vptr,2,550,594,638,600.83,27.4,0.36,572.68,0.36,570.29,0.36,285.607,1.521,3.112
clang++ 22.1,64,clflush,main,const,vptr_map,om ref,2,738,834,1056,861.64,85.5,1.13,833.49,1.13,640.14,1.26,320.592,2.213,3.493
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,1,354,402,422,405.27,19.1,0.25,377.12,0.25,374.73,0.25,187.671,1.108,2.194
clang++ 22.1,64,clflush,main,const,flat_map,om ref,1,546,618,752,631.10,49.5,0.66,602.95,0.66,433.24,0.73,216.971,1.771,2.537
clang++ 22.1,64,clflush,main,const,flat_map,om vptr,2,532,606,770,626.58,58.3,0.77,598.43,0.77,596.03,0.77,298.502,1.589,3.253
clang++ 22.1,64,clflush,main,const,flat_map,om ref,2,740,818,1060,854.03,87.5,1.16,825.88,1.16,632.53,1.29,316.781,2.193,3.452
clang++ 22.1,64,clflush,main,const,indirect,om vptr,1,382,418,484,428.09,29.5,0.39,399.94,0.39,397.55,0.39,199.098,1.175,2.328
clang++ 22.1,64,clflush,main,const,indirect,om ref,1,916,992,1208,1021.03,76.3,1.01,992.88,1.01,823.17,1.06,412.255,2.916,4.820
clang++ 22.1,64,clflush,main,const,indirect,om vptr,2,576,606,752,628.30,56.7,0.75,600.15,0.75,597.76,0.75,299.366,1.594,3.262
clang++ 22.1,64,clflush,main,const,indirect,om ref,2,1110,1192,1478,1234.41,103.8,1.37,1206.26,1.37,1012.91,1.48,507.280,3.203,5.528
clang++ 22.1,64,clflush,inplace,-,baseline,touch,1,156,200,236,191.93,25.5,0.34,163.78,0.34,0.00,0.48,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,-,baseline,touch+touch,2,162,210,270,212.15,40.3,0.53,184.00,0.53,0.00,0.75,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf,1,298,364,466,371.84,45.0,0.60,343.69,0.60,179.91,0.68,90.100,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,yardstick,vf+vf,2,302,398,546,405.57,59.3,0.79,377.42,0.79,193.42,0.95,96.867,1.000,1.000
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,1,314,404,540,408.70,55.5,0.74,380.55,0.74,216.77,0.81,108.561,1.107,1.205
clang++ 22.1,64,clflush,inplace,const,inplace,om ref,2,482,598,816,618.37,81.4,1.08,590.22,1.08,406.22,1.20,203.443,1.564,2.100
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch,1,158,204,224,193.95,25.9,0.34,165.80,0.34,0.00,0.49,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,-,baseline,touch+touch,2,164,214,316,218.13,45.9,0.61,189.98,0.61,0.00,0.86,0.000,0.000,0.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf,1,294,364,468,372.41,45.2,0.60,344.26,0.60,178.46,0.69,89.373,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,yardstick,vf+vf,2,308,396,554,406.34,61.1,0.81,378.19,0.81,188.21,1.01,94.257,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,1,546,600,740,614.42,50.7,0.67,586.27,0.67,420.47,0.75,210.576,1.703,2.356
clang++ 22.1,64,clflush,inplace_ind,const,inplace_ind,om ref,2,750,790,926,806.54,52.8,0.70,778.39,0.70,588.41,0.93,294.686,2.058,3.126
clang++ 22.1,64,clflush,main,use,yardstick,vf,1,174,360,460,367.40,44.0,0.58,339.25,0.58,169.54,0.66,84.910,1.000,1.000
clang++ 22.1,64,clflush,main,use,yardstick,vf+vf,2,312,396,542,406.52,59.3,0.79,378.37,0.79,185.03,0.96,92.663,1.000,1.000
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,1,364,418,496,424.73,30.1,0.40,396.58,0.40,226.87,0.51,113.620,1.169,1.338
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,1,712,784,936,798.81,53.9,0.71,770.66,0.71,600.94,0.78,300.961,2.272,3.544
clang++ 22.1,64,clflush,main,use,vptr_vector,om vptr,2,528,592,648,597.97,33.2,0.44,569.82,0.44,376.47,0.71,188.542,1.506,2.035
clang++ 22.1,64,clflush,main,use,vptr_vector,om ref,2,912,980,1204,1006.85,74.6,0.99,978.70,0.99,785.35,1.14,393.316,2.587,4.245
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,1,382,412,472,416.61,27.8,0.37,388.46,0.37,218.75,0.49,109.552,1.145,1.290
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,1,542,620,738,628.49,42.5,0.56,600.34,0.56,430.63,0.65,215.663,1.770,2.540
clang++ 22.1,64,clflush,main,use,vptr_map,om vptr,2,528,592,716,604.03,41.6,0.55,575.88,0.55,382.53,0.79,191.577,1.522,2.067
clang++ 22.1,64,clflush,main,use,vptr_map,om ref,2,768,818,1022,842.79,68.7,0.91,814.64,0.91,621.29,1.07,311.153,2.153,3.358
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,1,240,412,468,420.01,37.0,0.49,391.86,0.49,222.15,0.58,111.258,1.155,1.310
clang++ 22.1,64,clflush,main,use,flat_map,om ref,1,512,616,734,625.32,45.4,0.60,597.17,0.60,427.46,0.68,214.080,1.760,2.521
clang++ 22.1,64,clflush,main,use,flat_map,om vptr,2,526,598,736,612.21,47.3,0.63,584.06,0.63,390.71,0.84,195.674,1.544,2.112
clang++ 22.1,64,clflush,main,use,flat_map,om ref,2,766,808,1034,833.42,72.8,0.96,805.27,0.96,611.92,1.12,306.459,2.128,3.307
clang++ 22.1,64,clflush,main,use,indirect,om vptr,1,388,428,466,431.61,22.2,0.29,403.46,0.29,233.75,0.43,117.064,1.189,1.379
clang++ 22.1,64,clflush,main,use,indirect,om ref,1,916,984,1186,1001.57,61.8,0.82,973.42,0.82,803.71,0.88,402.509,2.869,4.740
clang++ 22.1,64,clflush,main,use,indirect,om vptr,2,564,616,740,631.53,50.5,0.67,603.38,0.67,410.04,0.87,205.351,1.595,2.216
clang++ 22.1,64,clflush,main,use,indirect,om ref,2,1104,1176,1446,1221.69,100.0,1.32,1193.54,1.32,1000.19,1.44,500.909,3.154,5.406
clang++ 22.1,64,clflush,inplace,use,yardstick,vf,1,296,370,462,377.23,43.6,0.58,349.08,0.58,185.30,0.67,92.800,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,yardstick,vf+vf,2,298,402,560,413.91,61.3,0.81,385.76,0.81,201.76,0.97,101.043,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf,1,296,372,458,377.22,43.0,0.57,349.07,0.57,183.26,0.67,91.781,1.000,1.000
clang++ 22.1,64,clflush,inplace_ind,use,yardstick,vf+vf,2,310,404,560,412.94,60.6,0.80,384.78,0.80,194.81,1.01,97.562,1.000,1.000
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,1,308,414,530,423.13,58.3,0.77,394.98,0.77,231.20,0.84,115.790,1.132,1.248
clang++ 22.1,64,clflush,inplace,use,inplace,om ref,2,498,606,816,624.47,81.8,1.08,596.32,1.08,412.32,1.21,206.496,1.546,2.044
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,1,546,606,728,619.63,46.6,0.62,591.48,0.62,425.68,0.71,213.186,1.694,2.323
clang++ 22.1,64,clflush,inplace_ind,use,inplace_ind,om ref,2,700,826,1074,856.85,97.0,1.29,828.70,1.29,638.72,1.42,319.879,2.154,3.279
