compiler,bits,mode,hier,body,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 15.2,64,clflush,main,-,baseline,probe,0,25,50,50,38.93,12.4,0.16,0.00,0.23,-4.18,0.22,-1.657,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,direct,0,25,50,50,43.10,11.2,0.15,4.18,0.22,0.00,0.21,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch,1,250,300,325,314.96,93.5,1.24,276.03,1.25,0.00,1.75,0.000,0.000,0.000
g++ 15.2,64,clflush,main,-,baseline,touch+touch,2,250,300,700,341.91,129.9,1.72,302.98,1.73,0.00,2.43,0.000,0.000,0.000
g++ 15.2,64,clflush,main,const,yardstick,vf,1,475,550,1050,612.68,166.8,2.21,573.76,2.22,297.73,2.53,118.135,1.000,1.000
g++ 15.2,64,clflush,main,const,yardstick,vf+vf,2,500,625,1500,829.28,338.1,4.48,790.35,4.48,487.37,4.80,193.382,1.000,1.000
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,1,475,550,1100,636.17,193.8,2.57,597.25,2.57,593.07,2.57,235.324,1.041,1.992
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,1,875,1025,1825,1137.06,265.8,3.52,1098.14,3.52,822.11,3.73,326.202,1.914,2.761
g++ 15.2,64,clflush,main,const,vptr_vector,om vptr,2,625,775,1425,872.95,234.1,3.10,834.02,3.10,829.85,3.10,329.274,1.055,1.703
g++ 15.2,64,clflush,main,const,vptr_vector,om ref,2,950,1300,2150,1467.68,345.9,4.58,1428.75,4.58,1125.77,4.89,446.694,1.808,2.310
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,1,450,525,975,587.88,156.9,2.08,548.95,2.08,544.78,2.08,216.161,0.957,1.830
g++ 15.2,64,clflush,main,const,vptr_map,om ref,1,675,825,1475,906.20,222.1,2.94,867.28,2.95,591.25,3.19,234.600,1.512,1.986
g++ 15.2,64,clflush,main,const,vptr_map,om vptr,2,725,800,1450,905.38,221.4,2.93,866.46,2.94,862.28,2.94,342.143,1.096,1.769
g++ 15.2,64,clflush,main,const,vptr_map,om ref,2,1000,1100,1950,1279.68,322.8,4.28,1240.75,4.28,937.77,4.61,372.098,1.570,1.924
g++ 15.2,64,clflush,main,const,flat_map,om vptr,1,475,500,1200,614.89,236.8,3.14,575.97,3.14,571.79,3.14,226.881,1.004,1.921
g++ 15.2,64,clflush,main,const,flat_map,om ref,1,675,800,1375,862.71,186.4,2.47,823.78,2.47,547.75,2.76,217.341,1.436,1.840
g++ 15.2,64,clflush,main,const,flat_map,om vptr,2,650,800,1450,877.56,212.6,2.82,838.63,2.82,834.46,2.82,331.103,1.061,1.712
g++ 15.2,64,clflush,main,const,flat_map,om ref,2,900,1125,1900,1254.75,292.6,3.88,1215.83,3.88,912.85,4.24,362.207,1.538,1.873
g++ 15.2,64,clflush,main,const,indirect,om vptr,1,500,550,1200,658.39,216.8,2.87,619.46,2.88,615.29,2.88,244.140,1.080,2.067
g++ 15.2,64,clflush,main,const,indirect,om ref,1,1175,1350,2150,1515.27,315.2,4.17,1476.34,4.18,1200.31,4.35,476.270,2.573,4.032
g++ 15.2,64,clflush,main,const,indirect,om vptr,2,575,800,1550,938.68,269.0,3.56,899.76,3.57,895.58,3.57,355.358,1.138,1.838
g++ 15.2,64,clflush,main,const,indirect,om ref,2,1250,1775,2425,1847.15,353.2,4.68,1808.22,4.68,1505.24,4.98,597.263,2.288,3.089
g++ 15.2,64,clflush,inplace,-,baseline,touch,1,225,300,400,315.20,102.3,1.36,276.28,1.37,0.00,1.92,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,-,baseline,touch+touch,2,225,300,775,355.26,156.1,2.07,316.34,2.07,0.00,2.92,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf,1,425,525,1075,592.55,182.7,2.42,553.62,2.43,277.35,2.77,110.048,1.000,1.000
g++ 15.2,64,clflush,inplace,const,yardstick,vf+vf,2,450,575,1375,688.77,275.9,3.66,649.85,3.66,333.51,4.20,132.333,1.000,1.000
g++ 15.2,64,clflush,inplace,const,inplace,om ref,1,450,525,1275,655.77,267.0,3.54,616.85,3.54,340.57,3.79,135.134,1.114,1.228
g++ 15.2,64,clflush,inplace,const,inplace,om ref,2,675,825,1375,907.78,207.5,2.75,868.85,2.75,552.51,3.44,219.231,1.337,1.657
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch,1,225,275,325,287.12,99.3,1.32,248.20,1.33,0.00,1.86,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,-,baseline,touch+touch,2,225,275,800,328.91,156.6,2.07,289.99,2.08,0.00,2.93,0.000,0.000,0.000
g++ 15.2,64,clflush,inplace_ind,const,yardstick,vf,1,425,500,1025,550.66,176.2,2.33,511.74,2.34,263.54,2.68,104.570,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,const,yardstick,vf+vf,2,425,525,1375,653.30,287.6,3.81,614.38,3.81,324.39,4.34,128.714,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,const,inplace_ind,om ref,1,625,750,1450,845.16,232.8,3.08,806.24,3.09,558.04,3.35,221.424,1.575,2.117
g++ 15.2,64,clflush,inplace_ind,const,inplace_ind,om ref,2,750,1025,1850,1180.44,296.4,3.93,1141.51,3.93,851.53,4.44,337.876,1.858,2.625
g++ 15.2,64,clflush,main,use,yardstick,vf,1,425,500,1075,577.88,191.3,2.53,538.96,2.54,262.93,2.82,104.326,1.000,1.000
g++ 15.2,64,clflush,main,use,yardstick,vf+vf,2,450,575,1350,695.46,260.9,3.46,656.53,3.46,353.55,3.86,140.284,1.000,1.000
g++ 15.2,64,clflush,main,use,vptr_vector,om vptr,1,475,525,825,563.73,102.2,1.35,524.81,1.36,248.78,1.83,98.712,0.974,0.946
g++ 15.2,64,clflush,main,use,vptr_vector,om ref,1,925,1050,1875,1189.90,278.0,3.68,1150.97,3.69,874.94,3.88,347.168,2.136,3.328
g++ 15.2,64,clflush,main,use,vptr_vector,om vptr,2,700,775,1400,859.39,207.9,2.75,820.46,2.76,517.48,3.25,205.331,1.250,1.464
g++ 15.2,64,clflush,main,use,vptr_vector,om ref,2,1000,1375,2200,1534.96,340.7,4.51,1496.03,4.52,1193.05,4.83,473.388,2.279,3.374
g++ 15.2,64,clflush,main,use,vptr_map,om vptr,1,500,550,875,579.79,98.0,1.30,540.86,1.31,264.83,1.79,105.083,1.004,1.007
g++ 15.2,64,clflush,main,use,vptr_map,om ref,1,675,800,1450,884.36,219.5,2.91,845.44,2.91,569.41,3.16,225.935,1.569,2.166
g++ 15.2,64,clflush,main,use,vptr_map,om vptr,2,750,800,1525,912.97,238.8,3.16,874.05,3.17,571.07,3.60,226.593,1.331,1.615
g++ 15.2,64,clflush,main,use,vptr_map,om ref,2,1000,1150,2000,1309.51,317.3,4.20,1270.58,4.21,967.60,4.54,383.933,1.935,2.737
g++ 15.2,64,clflush,main,use,flat_map,om vptr,1,500,550,1150,648.96,212.1,2.81,610.03,2.81,334.00,3.07,132.527,1.132,1.270
g++ 15.2,64,clflush,main,use,flat_map,om ref,1,725,825,1500,916.93,227.5,3.01,878.01,3.02,601.98,3.26,238.858,1.629,2.290
g++ 15.2,64,clflush,main,use,flat_map,om vptr,2,675,800,1450,904.72,232.7,3.08,865.80,3.09,562.82,3.53,223.319,1.319,1.592
g++ 15.2,64,clflush,main,use,flat_map,om ref,2,925,1100,1925,1257.14,309.4,4.10,1218.22,4.10,915.24,4.44,363.156,1.856,2.589
g++ 15.2,64,clflush,main,use,indirect,om vptr,1,475,575,1175,662.73,212.4,2.81,623.80,2.82,347.77,3.07,137.992,1.157,1.323
g++ 15.2,64,clflush,main,use,indirect,om ref,1,1050,1200,2000,1368.89,308.2,4.08,1329.96,4.09,1053.93,4.27,418.188,2.468,4.008
g++ 15.2,64,clflush,main,use,indirect,om vptr,2,500,750,1550,878.97,275.9,3.65,840.05,3.66,537.07,4.04,213.102,1.280,1.519
g++ 15.2,64,clflush,main,use,indirect,om ref,2,1225,1575,2300,1694.14,359.3,4.76,1655.21,4.76,1352.23,5.06,536.549,2.521,3.825
g++ 15.2,64,clflush,inplace,use,yardstick,vf,1,375,475,1000,527.30,169.5,2.25,488.38,2.25,212.10,2.62,84.159,1.000,1.000
g++ 15.2,64,clflush,inplace,use,yardstick,vf+vf,2,425,550,1325,660.17,253.9,3.36,621.25,3.37,304.91,3.95,120.984,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,use,yardstick,vf,1,375,525,1025,576.93,167.4,2.22,538.00,2.22,289.80,2.58,114.990,1.000,1.000
g++ 15.2,64,clflush,inplace_ind,use,yardstick,vf+vf,2,400,525,1275,610.43,248.9,3.30,571.50,3.30,281.52,3.89,111.703,1.000,1.000
g++ 15.2,64,clflush,inplace,use,inplace,om ref,1,400,475,1350,578.07,270.1,3.58,539.14,3.58,262.86,3.83,104.302,1.104,1.239
g++ 15.2,64,clflush,inplace,use,inplace,om ref,2,500,875,1425,951.06,240.4,3.18,912.13,3.19,595.79,3.80,236.404,1.468,1.954
g++ 15.2,64,clflush,inplace_ind,use,inplace_ind,om ref,1,675,800,1500,911.65,246.4,3.26,872.72,3.27,624.53,3.52,247.805,1.622,2.155
g++ 15.2,64,clflush,inplace_ind,use,inplace_ind,om ref,2,800,1100,1875,1255.49,304.5,4.03,1216.56,4.04,926.57,4.54,367.655,2.129,3.291
