compiler,bits,mode,hier,group,dispatch,arity,min,median,p90,mean,stddev,se,net,net_se,disp,disp_se,disp_ns,x_net,x_disp
g++ 13.3,32,warm,main,baseline,ovh,0,25,50,50,38.49,12.5,0.17,0.00,0.23,0.00,0.00,0.000,0.000,0.000
g++ 13.3,32,warm,main,baseline,nvf,1,25,50,50,42.90,11.3,0.15,4.41,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,baseline,nvf+nvf,2,25,50,50,42.68,11.4,0.15,4.19,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,main,yardstick,vf,1,25,50,75,56.87,11.3,0.15,18.38,0.22,13.97,0.21,5.694,1.000,1.000
g++ 13.3,32,warm,main,yardstick,vf+vf,2,25,50,75,61.48,12.5,0.17,22.99,0.23,18.79,0.22,7.660,1.000,1.000
g++ 13.3,32,warm,main,vptr_vector,om vptr,1,25,50,75,54.07,10.5,0.14,15.58,0.22,11.18,0.20,4.555,0.848,0.800
g++ 13.3,32,warm,main,vptr_vector,om ref,1,50,50,75,60.09,12.3,0.16,21.60,0.23,17.19,0.22,7.006,1.175,1.230
g++ 13.3,32,warm,main,vptr_vector,om vptr,2,50,50,50,50.00,0.0,0.00,11.51,0.17,7.32,0.15,2.982,0.501,0.389
g++ 13.3,32,warm,main,vptr_vector,om ref,2,50,50,75,56.33,10.9,0.14,17.84,0.22,13.64,0.21,5.561,0.776,0.726
g++ 13.3,32,warm,main,vptr_map,om vptr,1,25,50,75,54.54,10.8,0.14,16.04,0.22,11.64,0.21,4.743,0.873,0.833
g++ 13.3,32,warm,main,vptr_map,om ref,1,50,75,75,68.49,11.0,0.15,30.00,0.22,25.59,0.21,10.429,1.632,1.832
g++ 13.3,32,warm,main,vptr_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.51,0.17,7.32,0.15,2.982,0.501,0.389
g++ 13.3,32,warm,main,vptr_map,om ref,2,50,75,75,67.04,11.6,0.15,28.55,0.23,24.36,0.22,9.928,1.242,1.296
g++ 13.3,32,warm,main,flat_map,om vptr,1,25,50,75,53.67,10.3,0.14,15.18,0.21,10.77,0.20,4.390,0.826,0.771
g++ 13.3,32,warm,main,flat_map,om ref,1,50,75,75,65.61,12.1,0.16,27.12,0.23,22.71,0.22,9.256,1.476,1.626
g++ 13.3,32,warm,main,flat_map,om vptr,2,50,50,50,50.00,0.0,0.00,11.51,0.17,7.32,0.15,2.982,0.501,0.389
g++ 13.3,32,warm,main,flat_map,om ref,2,50,75,75,68.98,10.7,0.14,30.49,0.22,26.30,0.21,10.719,1.326,1.399
g++ 13.3,32,warm,main,indirect,om vptr,1,25,50,75,59.07,12.0,0.16,20.58,0.23,16.18,0.22,6.593,1.120,1.158
g++ 13.3,32,warm,main,indirect,om ref,1,50,75,75,66.74,11.8,0.16,28.25,0.23,23.84,0.22,9.716,1.537,1.706
g++ 13.3,32,warm,main,indirect,om vptr,2,50,50,75,52.40,7.4,0.10,13.91,0.19,9.72,0.18,3.961,0.605,0.517
g++ 13.3,32,warm,main,indirect,om ref,2,50,50,75,59.43,12.1,0.16,20.94,0.23,16.75,0.22,6.827,0.911,0.891
g++ 13.3,32,warm,inplace,baseline,nvf,1,25,50,50,42.75,11.3,0.15,4.26,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace,baseline,nvf+nvf,2,25,50,50,42.91,11.3,0.15,4.42,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace,yardstick,vf,1,25,50,75,56.71,11.2,0.15,18.22,0.22,13.96,0.21,5.690,1.000,1.000
g++ 13.3,32,warm,inplace,yardstick,vf+vf,2,25,50,75,61.45,12.5,0.17,22.96,0.23,18.54,0.22,7.556,1.000,1.000
g++ 13.3,32,warm,inplace,inplace,om ref,1,25,50,75,53.51,10.3,0.14,15.02,0.21,10.76,0.20,4.387,0.825,0.771
g++ 13.3,32,warm,inplace,inplace,om ref,2,50,50,50,50.00,0.0,0.00,11.51,0.17,7.09,0.15,2.889,0.501,0.382
g++ 13.3,32,warm,inplace_ind,baseline,nvf,1,25,50,50,43.04,11.2,0.15,4.54,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace_ind,baseline,nvf+nvf,2,25,50,50,43.08,11.2,0.15,4.59,0.22,0.00,0.21,0.000,0.000,0.000
g++ 13.3,32,warm,inplace_ind,yardstick,vf,1,25,50,75,56.76,11.2,0.15,18.27,0.22,13.72,0.21,5.593,1.000,1.000
g++ 13.3,32,warm,inplace_ind,yardstick,vf+vf,2,25,50,75,61.16,12.5,0.17,22.67,0.23,18.08,0.22,7.369,1.000,1.000
g++ 13.3,32,warm,inplace_ind,inplace_ind,om ref,1,25,50,75,59.44,12.2,0.16,20.95,0.23,16.40,0.22,6.686,1.147,1.195
g++ 13.3,32,warm,inplace_ind,inplace_ind,om ref,2,50,50,75,51.41,5.8,0.08,12.92,0.18,8.33,0.17,3.395,0.570,0.461
g++ 13.3,32,clflush,main,baseline,ovh,0,25,50,50,39.09,12.4,0.16,0.00,0.23,0.00,0.00,0.000,0.000,0.000
g++ 13.3,32,clflush,main,baseline,nvf,1,50,275,350,291.08,99.1,1.31,251.99,1.32,0.00,1.86,0.000,0.000,0.000
g++ 13.3,32,clflush,main,baseline,nvf+nvf,2,225,275,775,336.11,152.1,2.01,297.03,2.02,0.00,2.85,0.000,0.000,0.000
g++ 13.3,32,clflush,main,yardstick,vf,1,425,525,1125,599.12,196.7,2.60,560.03,2.61,308.04,2.92,125.551,1.000,1.000
g++ 13.3,32,clflush,main,yardstick,vf+vf,2,475,600,1400,744.14,296.2,3.92,705.05,3.93,408.03,4.41,166.303,1.000,1.000
g++ 13.3,32,clflush,main,vptr_vector,om vptr,1,500,550,1100,623.66,190.9,2.53,584.57,2.53,332.58,2.85,135.552,1.044,1.080
g++ 13.3,32,clflush,main,vptr_vector,om ref,1,775,1075,1825,1190.99,278.5,3.69,1151.90,3.69,899.91,3.92,366.786,2.057,2.921
g++ 13.3,32,clflush,main,vptr_vector,om vptr,2,750,800,1550,908.16,236.4,3.13,869.07,3.13,572.04,3.72,233.153,1.233,1.402
g++ 13.3,32,clflush,main,vptr_vector,om ref,2,950,1325,2150,1477.96,330.0,4.37,1438.88,4.37,1141.85,4.81,465.395,2.041,2.798
g++ 13.3,32,clflush,main,vptr_map,om vptr,1,450,500,950,556.15,163.4,2.16,517.06,2.17,265.07,2.53,108.037,0.923,0.861
g++ 13.3,32,clflush,main,vptr_map,om ref,1,500,775,1475,926.02,276.9,3.67,886.93,3.67,634.94,3.89,258.790,1.584,2.061
g++ 13.3,32,clflush,main,vptr_map,om vptr,2,675,775,1525,875.87,258.1,3.42,836.78,3.42,539.75,3.97,219.993,1.187,1.323
g++ 13.3,32,clflush,main,vptr_map,om ref,2,725,1000,1850,1164.94,319.6,4.23,1125.86,4.24,828.83,4.69,337.814,1.597,2.031
g++ 13.3,32,clflush,main,flat_map,om vptr,1,475,500,1250,585.73,234.2,3.10,546.64,3.11,294.65,3.37,120.093,0.976,0.957
g++ 13.3,32,clflush,main,flat_map,om ref,1,500,825,1325,897.21,210.8,2.79,858.12,2.80,606.13,3.09,247.047,1.532,1.968
g++ 13.3,32,clflush,main,flat_map,om vptr,2,675,775,1500,857.94,235.8,3.12,818.86,3.13,521.83,3.72,212.687,1.161,1.279
g++ 13.3,32,clflush,main,flat_map,om ref,2,750,1075,1850,1222.69,305.4,4.04,1183.60,4.05,886.57,4.52,361.350,1.679,2.173
g++ 13.3,32,clflush,main,indirect,om vptr,1,475,550,1275,691.93,272.0,3.60,652.84,3.61,400.85,3.83,163.377,1.166,1.301
g++ 13.3,32,clflush,main,indirect,om ref,1,900,1200,2050,1337.14,309.0,4.09,1298.06,4.10,1046.07,4.30,426.355,2.318,3.396
g++ 13.3,32,clflush,main,indirect,om vptr,2,675,775,1575,894.04,269.6,3.57,854.96,3.57,557.93,4.10,227.401,1.213,1.367
g++ 13.3,32,clflush,main,indirect,om ref,2,1125,1550,2350,1711.64,344.6,4.56,1672.55,4.57,1375.52,4.99,560.635,2.372,3.371
g++ 13.3,32,clflush,inplace,baseline,nvf,1,200,250,350,280.88,89.7,1.19,241.79,1.20,0.00,1.68,0.000,0.000,0.000
g++ 13.3,32,clflush,inplace,baseline,nvf+nvf,2,250,275,750,335.19,155.2,2.06,296.11,2.06,0.00,2.91,0.000,0.000,0.000
g++ 13.3,32,clflush,inplace,yardstick,vf,1,425,525,1050,573.29,181.0,2.40,534.20,2.40,292.40,2.68,119.178,1.000,1.000
g++ 13.3,32,clflush,inplace,yardstick,vf+vf,2,475,550,1350,692.23,280.9,3.72,653.14,3.72,357.04,4.25,145.520,1.000,1.000
g++ 13.3,32,clflush,inplace,inplace,om ref,1,475,525,1000,586.72,172.2,2.28,547.63,2.29,305.84,2.57,124.653,1.025,1.046
g++ 13.3,32,clflush,inplace,inplace,om ref,2,700,775,1575,904.82,269.9,3.57,865.73,3.58,569.63,4.12,232.168,1.325,1.595
g++ 13.3,32,clflush,inplace_ind,baseline,nvf,1,200,250,350,280.39,91.9,1.22,241.31,1.23,0.00,1.72,0.000,0.000,0.000
g++ 13.3,32,clflush,inplace_ind,baseline,nvf+nvf,2,250,300,700,332.65,134.1,1.78,293.56,1.78,0.00,2.51,0.000,0.000,0.000
g++ 13.3,32,clflush,inplace_ind,yardstick,vf,1,450,525,1100,589.00,183.5,2.43,549.91,2.44,308.61,2.72,125.781,1.000,1.000
g++ 13.3,32,clflush,inplace_ind,yardstick,vf+vf,2,425,550,1375,702.57,296.9,3.93,663.48,3.94,369.92,4.31,150.772,1.000,1.000
g++ 13.3,32,clflush,inplace_ind,inplace_ind,om ref,1,675,725,1350,812.73,202.0,2.68,773.64,2.68,532.33,2.94,216.968,1.407,1.725
g++ 13.3,32,clflush,inplace_ind,inplace_ind,om ref,2,875,1000,1850,1162.03,311.1,4.12,1122.94,4.12,829.38,4.49,338.039,1.692,2.242
